"Taxa"	"Group"
"1"	"Citrobacter"	"NUM"
"2"	"Escherichia"	"DEN"
"3"	"Porphyromonas"	"DEN"
"4"	"Clostridium"	"NUM"
"5"	"Blautia"	"DEN"
"6"	"Staphylococcus"	"NUM"
"7"	"Gordonibacter"	"NUM"
"8"	"Campylobacter"	"DEN"
"9"	"Mogibacterium"	"DEN"
"10"	"Enterococcus"	"DEN"
"11"	"Vibrio"	"NUM"
