"Taxa"	"Group"
"1"	"Roseburia"	"NUM"
"2"	"Prevotella"	"DEN"
"3"	"Fusobacterium"	"DEN"
"4"	"Rhizobium"	"NUM"
"5"	"Porphyromonas"	"DEN"
"6"	"Ethanoligenens"	"DEN"
"7"	"Geobacter"	"NUM"
