"Taxa"	"Group"
"1"	"Tenericutes"	"NUM"
"2"	"Fusobacteria"	"DEN"
"3"	"Actinobacteria"	"NUM"
"4"	"Chloroflexi"	"DEN"
"5"	"Firmicutes"	"NUM"
"6"	"Spirochaetes"	"NUM"
"7"	"Deinococcus-Thermus"	"DEN"
