"Taxa"	"Group"
"1"	"Anaerostipes"	"NUM"
"2"	"Parvimonas"	"DEN"
"3"	"Flavonifractor"	"DEN"
"4"	"Lactobacillus"	"NUM"
"5"	"Fusobacterium"	"DEN"
"6"	"Faecalitalea"	"DEN"
"7"	"Eubacterium"	"NUM"
"8"	"Porphyromonas"	"DEN"
"9"	"Actinomyces"	"NUM"
"10"	"Bacteroides"	"NUM"
"11"	"Turicibacter"	"NUM"
"12"	"Christensenella"	"DEN"
"13"	"Clostridium"	"DEN"
