"Taxa"	"Group"
"1"	"Bacteroidales_noname"	"NUM"
"2"	"Desulfovibrio"	"DEN"
"3"	"Escherichia"	"DEN"
"4"	"Faecalibacterium"	"NUM"
"5"	"Butyrivibrio"	"NUM"
"6"	"Clostridiales_noname"	"NUM"
"7"	"Roseburia"	"DEN"
"8"	"Gordonibacter"	"NUM"
"9"	"Clostridiaceae_noname"	"DEN"
"10"	"Pseudoflavonifractor"	"NUM"
"11"	"Subdoligranulum"	"DEN"
"12"	"Fusobacterium"	"DEN"
"13"	"Paraprevotella"	"NUM"
"14"	"Sutterellaceae_unclassified"	"DEN"
"15"	"Oxalobacter"	"DEN"
